game_id,game_name,game_category_code,game_type_code
826,Taco Brothers,S,3rd Party
827,Electric Sam,S,3rd Party
828,Bloopers,S,3rd Party
829,Jacks Beanstalk,S,Non Branded
830,Mad Mad Monkey,S,Non Branded
831,A Dragons Story,S,Non Branded
832,Great Wild Elk,S,Non Branded
833,Dolphin Gold,S,3rd Party
834,Birds on Wire,S,3rd Party
835,Merlin's Millions,S,Non Branded
837,Bars and Bells,S,
838,Chilli Gold,S,
839,Double the Devil,S,
840,Double Play Superbet,S,
841,Doctor Love,S,Non Branded
842,Foxin Wins,S,Non Branded
843,Foxin Wins Again ,S,Non Branded
844,Frogs n Flies,S,
845,Geckos Gone Wild,S,
846,Gorilla Go Wild,S,Non Branded
847,Danger! High Voltage,S,3rd Party - Branded
848,Jackpot Jester 50k,S,Non Branded
849,Jackpot Jester Wild Nudge,S,Non Branded
850,King Kong Cash,S,3rd Party
851,Medusa,S,Non Branded
852,Medusa 2,S,Non Branded
853,Silver Lion,S,3rd Party
854,Millionaires Club III,S,
855,Miss Midas,S,Non Branded
856,Monkey in the Bank ,S,
857,Moon Temple ,S,
858,OMG! Kittens ,S,
859,Raging Rhino ,S,3rd Party
860,Rainbow Riches,S,3rd Party
861,Spartacus,S,
864,Legend of White Buffalo,S,3rd Party
866,300 Shields,S,Non Branded
867,A While on the Nile,S,Non Branded
868,Bingo Billions ,S,Non Branded
869,Blazing Goddess,S,3rd Party
870,Genie Wild,S,Non Branded
871,Green Lantern 2016,S,
872,Irish Eyes,S,Non Branded
873,Irish Eyes II,S,Non Branded
874,Merlin's Magic Respins,S,Non Branded
875,More Monkeys Jackpot,S,3rd Party
876,Owl eyes,S,Non Branded
877,Robin Hood Prince of Tweets,S,Non Branded
878,Spanish Eyes ,S,Non Branded
879,Super Safari,S,Non Branded
880,The Flash 2016,S,
881,Wild West ,S,Non Branded
882,Wolfpack Pays,S,Non Branded
883,Roulette Master,S,Non Branded
885,Chilli Gold 2,S,3rd Party
886,Montezuma,S,3rd Party
888,Lady of Egypt,S,
889,Bier Haus,S,3rd Party
890,Ramesses Riches,S,Non Branded
891,Justice League,S,
892,Fruit Warp,S,3rd Party
893,Fire Queen,S,
894,Red Flag Fleet,S,
895,Golden,S,
896,Miss Kitty,S,
897,Taco Brothers Saving Christmas,S,3rd Party
898,Prosperity Twin,S,Non Branded
899,Astro Cat,S,3rd Party
900,Perfect BlackJack,C,
901,3 Card Brag,C,
902,White king,S,
903,Santa Surprise,S,
904,Wild Gambler,S,
905,Great Blue,S,
906,Mr. Cashback,S,
907,Leprechaun's Luck,S,
908,Treetop Treasures,C,QueenOfDiamonds
911,Dolphin Gold with Stellar Jackpots,S,3rd Party
912,Panda Pow,S,3rd Party
913,Flame Busters,S,3rd Party
914,Imperial Dragon,S,3rd Party
915,Valhalla,S,3rd Party
916,Wild Play Superbet,S,Non Branded
917,Bonanza,S,
918,Instant - Horses,S,3rd Party
919,Instant - Greyhounds,S,3rd Party
920,Instant - Trotting,S,3rd Party
921,Instant - Speedway,S,3rd Party
922,Babushkas,S,3rd Party
923,Red Roo,S,3rd Party
924,Siberian Siren,S,
925,Ivanhoe,S,3rd Party
926,Sam on the Beach,S,
927,Wild Toro,S,
928,Super Lucky Frog,S,3rd Party
929,Luchadora,S,3rd Party
930,Jackpot Jester 50k,S,
931,Merlin’s Millions Superbet,S,
932,Double Play Superbet,S,
933,Medusa 2,S,
934,Glorious Empire,S,Non Branded
935,Dolphin Gold,S,
936,Instant - Cycling,S,3rd Party
937,Instant Virtual - Racing,S,
938,Platinum Pyramid,S,Non Branded
939,Thai  Sunrise,S,Non Branded
940,TED,S,3rd Party - Branded
945,Lightning Gems,S,Non Branded
947,The Cheshire Cat,S,
948,Bruce Lee,S,
950,Paranormal Activity,S,
951,Diamond Wild,S,
952,Esqueleto Explosivo,S,
953,Bingo75-953,C,
954,Baccarat,S,
955,Blackjack,S,
956,Joker Poker,S,
958,Blackjack Multihand PT,S,Table games
963,Surfin Reels,S,3rd party
965,Hot Chilli,S,3rd party
966,Phoenix Fire Power Reels,S,3rd party
967,Colossal Vikings,S,3rd party
968,Arabian Fire Loaded with Loot,S,3rd party
